full_month,full_sentiment,full_views,full_death,neg_full_death,adjusted_sentiment,dark_blood1,dark_blood2,dark_blood3,80%_deaths,60%_deaths,40%_deaths,avg_hour
Jan,98.1632,20889,0,0,490.816,0,0,0,0,0,0,22.46835048
Feb,-1.2124,3597,0,0,-6.062,0,0,0,0,0,0,15.08363636
Mar,-147.3608,41108,345,-345,-736.804,-276,-207,-138,276,207,138,14.97626016
Apr,-70.7697,57724,6334,-6334,-353.8485,-5067.2,-3800.4,-2533.6,5067.2,3800.4,2533.6,14.77224642
May,-375.7056,28818,2642,-2642,-1878.528,-2113.6,-1585.2,-1056.8,2113.6,1585.2,1056.8,15.61446561
Jun,-392.6159,44801,649,-649,-1963.0795,-519.2,-389.4,-259.6,519.2,389.4,259.6,14.16166667
Jul,-197.7465,52353,246,-246,-988.7325,-196.8,-147.6,-98.4,196.8,147.6,98.4,14.63166667
Aug,-381.165,67856,123,-123,-1905.825,-98.4,-73.8,-49.2,98.4,73.8,49.2,14.612
Sep,-253.2408,33410,195,-195,-1266.204,-156,-117,-78,156,117,78,16.24588045
Oct,-291.9693,41613,771,-771,-1459.8465,-616.8,-462.6,-308.4,616.8,462.6,308.4,15.99967679
Nov,-403.4253,57683,1577,-1577,-2017.1265,-1261.6,-946.2,-630.8,1261.6,946.2,630.8,15.60966667
Dec,-318.8575,41277,1792,-1792,-1594.2875,-1433.6,-1075.2,-716.8,1433.6,1075.2,716.8,15.96314258
