full_month,full_sentiment,full_views,full_hour,full_death,neg_full_death,adjusted_sentiment,dark_blood1,dark_blood2,dark_blood3,80%_deaths,60%_deaths,40%_deaths,avg_hour
Jan,285.9879,76801,33539,0,0,1429.9395,0,0,0,0,0,0,11.17966667
Feb,1.2917,305,141,0,0,6.4585,0,0,0,0,0,0,8.8125
Mar,149.5745,24630,6076,0,0,747.8725,0,0,0,0,0,0,8.909090909
Apr,66.9047,41721,23203,10,-10,334.5235,-8,-6,-4,8,6,4,11.17678227
May,109.6844,32945,13485,3,-3,548.422,-2.4,-1.8,-1.2,2.4,1.8,1.2,10.35714286
Jun,142.8019,93809,16212,0,0,714.0095,0,0,0,0,0,0,11.75634518
Jul,86.2421,18233,5810,0,0,431.2105,0,0,0,0,0,0,11.52777778
Aug,-19.0014,54165,16813,0,0,-95.007,0,0,0,0,0,0,9.72974537
Sep,82.2578,8580,4049,3,-3,411.289,-2.4,-1.8,-1.2,2.4,1.8,1.2,9.098876404
Oct,408.1878,116946,19672,0,0,2040.939,0,0,0,0,0,0,12.38011328
Nov,70.2029,19630,6241,0,0,351.0145,0,0,0,0,0,0,11.7754717
Dec,79.9934,17168,4791,0,0,399.967,0,0,0,0,0,0,11.51682692
