date,month,rank
01/01/2020,Early Jan,0
11/01/2020,Mid Jan,0
21/01/2020,Late Jan,0
11/02/2020,Early Feb,0
21/02/2020,Mid Feb,0
01/03/2020,Early Mar,0
11/03/2020,Mid Mar,0
21/03/2020,Late Mar,0
01/04/2020,Early Apr,0
11/04/2020,Mid Apr,0
21/04/2020,Late Apr,0
01/05/2020,Early May,0
11/05/2020,Mid May,0
21/05/2020,Late May,0
01/06/2020,Early Jun,0
11/06/2020,Mid Jun,0
21/06/2020,Late Jun,0
01/07/2020,Early Jul,0
11/07/2020,Mid Jul,0
21/07/2020,Late Jul,0
01/08/2020,Early Aug,0
11/08/2020,Mid Aug,0
21/08/2020,Late Aug,0
01/09/2020,Early Sep,0
11/09/2020,Mid Sep,0
21/09/2020,Late Sep,0
01/10/2020,Early Oct,0
11/10/2020,Mid Oct,0
21/10/2020,Late Oct,0
01/11/2020,Early Nov,0
11/11/2020,Mid Nov,0
21/11/2020,Late Nov,0
01/12/2020,Early Dec,0
11/12/2020,Mid Dec,0
21/12/2020,Late Dec,0
