month,hour,sentiment,views
Jan,23,426.7834,191459
Jan,22,637.3991,183441
Jan,21,420.7624,181614
Jan,20,377.0098,172150
Jan,19,370.6865,89541
Jan,18,221.7772,44308
Jan,17,37.102,15978
Jan,16,-1.0657,6351
Jan,15,3.0469,268
Feb,19,-1.6703,8
Feb,18,-0.5379,321
Feb,16,2.649,24
Feb,23,-3.6333,32
Feb,22,2.1634,14
Feb,20,-1.254,22
Feb,13,1.4363,11
Feb,12,0.4413,17
Feb,0,1.8826,14
Feb,21,1.1803,10
Feb,17,-1.2361,30
Feb,10,-0.6801,34
Feb,6,0.0089,1
Feb,15,1.9341,39
Feb,14,-2.5791,41
Feb,8,0.1633,77
Feb,7,-0.3818,2
Feb,11,0.0645,763
Feb,9,0.343,11
Feb,5,0.1779,3
Feb,4,0.0139,1
Feb,3,1.5051,1
Feb,2,0.6183,42
Feb,1,-0.8017,7
Mar,23,-42.1515,5621
Mar,22,-50.0086,11566
Mar,21,-55.8523,24757
Mar,20,-31.0171,11762
Mar,19,-7.5388,9192
Mar,18,-37.6247,17003
Mar,17,-67.9155,44783
Mar,16,-19.0314,4339
Mar,15,-30.8686,3951
Mar,13,-33.7051,4899
Mar,12,0.1627,2062
Mar,11,-5.0195,3866
Mar,10,-3.642,671
Mar,9,-1.7428,566
Mar,8,-9.6545,588
Mar,7,-9.8418,360
Mar,6,0.5441,132
Mar,4,-0.5542,35
Mar,1,-3.4669,97
Mar,0,-1.4921,1745
Mar,14,-29.7304,36373
Mar,3,-0.9981,97
Mar,5,1.1382,12
Mar,2,2.9462,10
Apr,0,13.6536,13960
Apr,23,-25.713,33647
Apr,22,-89.9378,87209
Apr,21,-45.7737,29727
Apr,20,-35.647,24210
Apr,19,-41.5219,9090
Apr,18,-45.1134,16469
Apr,17,-42.3756,9291
Apr,16,-72.2966,8435
Apr,15,-91.9227,34041
Apr,14,-45.7346,11326
Apr,13,-34.2524,8179
Apr,12,-39.8506,1884
Apr,11,-10.9808,2219
Apr,10,-26.8097,3338
Apr,9,-23.8146,2040
Apr,8,-7.7231,1205
Apr,7,-3.5202,1363
Apr,6,-14.5184,711
Apr,5,-2.436,239
Apr,4,-1.1178,79
Apr,3,-4.5583,389
Apr,2,-4.9533,56
Apr,1,-0.9691,33
May,0,-73.319,4174
May,23,-120.8899,33168
May,22,-129.315,14699
May,21,-134.4685,49555
May,20,-143.6386,21561
May,19,-100.102,13897
May,18,-129.5728,15543
May,17,-167.4332,17321
May,16,-107.4298,9839
May,15,-86.2547,4309
May,14,-68.1574,4382
May,13,-52.3018,14347
May,12,-31.7093,3891
May,11,2.4694,871
May,10,-4.783,194
Jun,0,-54.9021,3385
Jun,23,-149.2485,9006
Jun,22,-141.1361,10912
Jun,21,-123.8403,7221
Jun,20,-154.1668,9640
Jun,19,-145.4423,14920
Jun,18,-121.8081,11513
Jun,17,-150.9929,15739
Jun,16,-88.923,9182
Jun,15,-90.5482,13569
Jun,14,-101.7119,8675
Jun,13,-111.0557,6575
Jun,12,-68.9985,27314
Jun,11,-84.4488,5595
Jun,10,-43.9286,10669
Jun,9,-39.1927,2954
Jun,8,-22.8927,2220
Jun,7,-10.9737,134
Jun,6,-5.0807,41
Jun,5,0.0425,85
Jun,4,-0.8372,13
Jun,3,-1.0805,38
Jun,2,-4.0812,27
Jun,1,-1.3088,8
Jul,0,-62.9824,5853
Jul,23,-97.1243,6964
Jul,22,-165.6911,18766
Jul,21,-122.8304,17805
Jul,20,-84.0516,8763
Jul,19,-101.4376,13719
Jul,18,-119.0551,10536
Jul,17,-98.0307,36533
Jul,16,-114.0183,21887
Jul,15,-71.6767,18818
Jul,14,-78.9742,6523
Jul,13,-71.3918,7651
Jul,12,-55.8067,22104
Jul,11,-24.1126,9116
Jul,10,-28.2943,18101
Jul,9,-18.4693,1043
Jul,8,-19.0635,5602
Jul,7,0.1319,396
Jul,6,-2.6756,11
Jul,5,-1.424,8
Jul,4,-2.114,3
Jul,3,-5.2882,10
Jul,2,-1.23,18
Jul,1,-0.748,37
Aug,0,-38.5114,1703
Aug,23,-68.6601,6317
Aug,22,-94.7411,11607
Aug,21,-112.9447,27446
Aug,20,-125.3541,13327
Aug,19,-106.2748,8315
Aug,18,-133.6835,18085
Aug,17,-123.6052,35913
Aug,16,-154.3134,8946
Aug,15,-115.5503,10291
Aug,14,-119.7145,5041
Aug,13,-100.7057,4886
Aug,12,-122.5312,7242
Aug,11,-116.357,4665
Aug,10,-114.1182,5925
Aug,9,-81.4619,5175
Aug,8,-80.954,8936
Aug,7,-34.9251,1654
Aug,6,-28.3495,535
Aug,5,-13.654,145
Aug,4,-11.8442,99
Aug,3,-3.2228,111
Aug,2,-16.639,242
Aug,1,-7.7704,161
Sep,0,-84.9021,6543
Sep,23,-154.7592,22195
Sep,22,-253.2333,28381
Sep,21,-170.1591,39390
Sep,20,-125.951,6370
Sep,19,-145.7175,14459
Sep,18,-159.4297,17631
Sep,17,-139.9842,14212
Sep,16,-94.5769,5166
Sep,15,-81.9637,9213
Sep,14,-78.9394,4570
Sep,13,-50.4254,32240
Sep,12,-36.3875,3158
Sep,11,-44.4112,1499
Sep,10,-30.9965,1847
Sep,9,-26.8678,786
Sep,8,-28.0577,26431
Sep,7,-22.307,671
Sep,6,-26.4517,315
Sep,5,-10.1476,594
Sep,4,-1.5654,85
Sep,3,-1.9013,26
Sep,2,-1.418,31
Sep,1,-4.9274,801
Oct,0,-69.1163,5270
Oct,23,-170.2986,13791
Oct,22,-157.2937,17694
Oct,21,-191.8495,16645
Oct,20,-199.2822,27443
Oct,19,-147.6873,10799
Oct,18,-106.597,9015
Oct,17,-79.2403,4722
Oct,16,-84.528,29100
Oct,15,-32.0302,5081
Oct,14,-19.395,1377
Oct,13,-11.7113,1226
Oct,12,-26.731,348
Oct,11,-11.2458,1524
Oct,10,-6.1037,1082
Oct,9,-0.1897,69
Oct,8,0.2192,550
Oct,7,-0.6526,38
Nov,23,-126.6247,18315
Nov,22,-143.5251,25983
Nov,21,-171.8166,39219
Nov,20,-205.0395,11783
Nov,19,-132.0809,10006
Nov,18,-166.4103,11605
Nov,17,-109.2746,15107
Nov,16,-91.5528,3566
Nov,15,-37.1551,5979
Nov,14,-37.9651,8323
Nov,13,-37.9155,1973
Nov,12,-27.2882,3832
Nov,11,-6.1998,784
Nov,10,-9.0914,165
Nov,9,-11.8617,357
Dec,23,-218.4748,10518
Dec,22,-345.1474,35761
Dec,21,-238.7919,12068
Dec,20,-163.9009,16044
Dec,19,-148.6884,21629
Dec,18,-156.3156,22865
Dec,17,-145.6363,6647
Dec,16,-72.9179,3475
Dec,15,-42.6238,6767
Dec,14,-60.4849,6683
Dec,13,-56.6236,3382
Dec,12,-26.2386,1333
Dec,11,-31.0172,999
Dec,10,-6.3186,1677
Dec,9,-10.6818,253
Dec,8,1.1893,146
Dec,7,-1.6812,20
